county,state,households_SOURCE_Census_ACS_5yr_B19001,"share_income_above_59,865_DERIVED_interpolated",est_share_fico_ge670_state_DERIVED_ESTIMATE,addressable_households_DERIVED (hh x income share x credit share)
"Henry County, IA",IA,7644,0.5605,0.7288,3122
"Carroll County, IN",IN,8085,0.5519,0.699,3119
"Geneva County, AL",AL,10647,0.4611,0.6351,3118
"Dallas County, AL",AL,15947,0.3074,0.6351,3113
"Hale County, TX",TX,11024,0.4408,0.6402,3111
"Hampshire County, WV",WV,8643,0.5285,0.6809,3111
"Crawford County, IL",IL,7492,0.5781,0.7156,3099
"Adams County, OH",OH,10421,0.4217,0.704,3094
"Westmoreland County, VA",VA,8149,0.5294,0.7172,3094
"Mason County, WV",WV,10211,0.4448,0.6809,3092
"McNairy County, TN",TN,9939,0.4518,0.6875,3087
"Stephens County, GA",GA,10524,0.4581,0.6402,3086
"Duchesne County, UT",UT,6878,0.614,0.7288,3078
"Andrew County, MO",MO,6988,0.6262,0.7024,3074
"Gem County, ID",ID,7643,0.5483,0.7305,3061
